,ncases,ncontrols,age_low,age_high,alc_low,alc_high,tob_low,tob_high
0,0,40,25,34,0,39,0,9
1,0,10,25,34,0,39,10,19
2,0,6,25,34,0,39,20,29
3,0,5,25,34,0,39,30,-1
4,0,27,25,34,40,79,0,9
5,0,7,25,34,40,79,10,19
6,0,4,25,34,40,79,20,29
7,0,7,25,34,40,79,30,-1
8,0,2,25,34,80,119,0,9
9,0,1,25,34,80,119,10,19
10,0,2,25,34,80,119,30,-1
11,0,1,25,34,120,-1,0,9
12,1,1,25,34,120,-1,10,19
13,0,1,25,34,120,-1,20,29
14,0,2,25,34,120,-1,30,-1
15,0,60,35,44,0,39,0,9
16,1,14,35,44,0,39,10,19
17,0,7,35,44,0,39,20,29
18,0,8,35,44,0,39,30,-1
19,0,35,35,44,40,79,0,9
20,3,23,35,44,40,79,10,19
21,1,14,35,44,40,79,20,29
22,0,8,35,44,40,79,30,-1
23,0,11,35,44,80,119,0,9
24,0,6,35,44,80,119,10,19
25,0,2,35,44,80,119,20,29
26,0,1,35,44,80,119,30,-1
27,2,3,35,44,120,-1,0,9
28,0,3,35,44,120,-1,10,19
29,2,4,35,44,120,-1,20,29
30,1,46,45,54,0,39,0,9
31,0,18,45,54,0,39,10,19
32,0,10,45,54,0,39,20,29
33,0,4,45,54,0,39,30,-1
34,6,38,45,54,40,79,0,9
35,4,21,45,54,40,79,10,19
36,5,15,45,54,40,79,20,29
37,5,7,45,54,40,79,30,-1
38,3,16,45,54,80,119,0,9
39,6,14,45,54,80,119,10,19
40,1,5,45,54,80,119,20,29
41,2,4,45,54,80,119,30,-1
42,4,4,45,54,120,-1,0,9
43,3,4,45,54,120,-1,10,19
44,2,3,45,54,120,-1,20,29
45,4,4,45,54,120,-1,30,-1
46,2,49,55,64,0,39,0,9
47,3,22,55,64,0,39,10,19
48,3,12,55,64,0,39,20,29
49,4,6,55,64,0,39,30,-1
50,9,40,55,64,40,79,0,9
51,6,21,55,64,40,79,10,19
52,4,17,55,64,40,79,20,29
53,3,6,55,64,40,79,30,-1
54,9,18,55,64,80,119,0,9
55,8,15,55,64,80,119,10,19
56,3,6,55,64,80,119,20,29
57,4,4,55,64,80,119,30,-1
58,5,10,55,64,120,-1,0,9
59,6,7,55,64,120,-1,10,19
60,2,3,55,64,120,-1,20,29
61,5,6,55,64,120,-1,30,-1
62,5,48,65,74,0,39,0,9
63,4,14,65,74,0,39,10,19
64,2,7,65,74,0,39,20,29
65,0,2,65,74,0,39,30,-1
66,17,34,65,74,40,79,0,9
67,3,10,65,74,40,79,10,19
68,5,9,65,74,40,79,20,29
69,6,13,65,74,80,119,0,9
70,4,12,65,74,80,119,10,19
71,2,3,65,74,80,119,20,29
72,1,1,65,74,80,119,30,-1
73,3,4,65,74,120,-1,0,9
74,1,2,65,74,120,-1,10,19
75,1,1,65,74,120,-1,20,29
76,1,1,65,74,120,-1,30,-1
77,1,18,75,-1,0,39,0,9
78,2,6,75,-1,0,39,10,19
79,1,3,75,-1,0,39,30,-1
80,2,5,75,-1,40,79,0,9
81,1,3,75,-1,40,79,10,19
82,0,3,75,-1,40,79,20,29
83,1,1,75,-1,40,79,30,-1
84,1,1,75,-1,80,119,0,9
85,1,1,75,-1,80,119,10,19
86,2,2,75,-1,120,-1,0,9
87,1,1,75,-1,120,-1,10,19
